"","pl.p","growth.group","count","planting","plot.type","plot.area","preRE"
"1",1,"1",1,2,"Remnant",-0.957809984107834,"5"
"2",1,"2",0,2,"Remnant",-0.957809984107834,"5"
"3",1,"5",1,2,"Remnant",-0.957809984107834,"5"
"4",1,"8",1,2,"Remnant",-0.957809984107834,"5"
"5",1,"7",2,2,"Remnant",-0.957809984107834,"5"
"6",1,"6",2,2,"Remnant",-0.957809984107834,"5"
"7",1,"3",1,2,"Remnant",-0.957809984107834,"5"
"8",1,"4",1,2,"Remnant",-0.957809984107834,"5"
"9",2,"2",0,2,"Remnant",-1.0216724556814,"5"
"10",2,"5",1,2,"Remnant",-1.0216724556814,"5"
"11",2,"1",1,2,"Remnant",-1.0216724556814,"5"
"12",2,"7",2,2,"Remnant",-1.0216724556814,"5"
"13",2,"6",2,2,"Remnant",-1.0216724556814,"5"
"14",2,"8",0,2,"Remnant",-1.0216724556814,"5"
"15",2,"4",0,2,"Remnant",-1.0216724556814,"5"
"16",2,"3",0,2,"Remnant",-1.0216724556814,"5"
"17",3,"6",2,2,"Remnant",-0.957809984107834,"5"
"18",3,"4",0,2,"Remnant",-0.957809984107834,"5"
"19",3,"8",1,2,"Remnant",-0.957809984107834,"5"
"20",3,"2",0,2,"Remnant",-0.957809984107834,"5"
"21",3,"3",0,2,"Remnant",-0.957809984107834,"5"
"22",3,"7",1,2,"Remnant",-0.957809984107834,"5"
"23",3,"1",1,2,"Remnant",-0.957809984107834,"5"
"24",3,"5",2,2,"Remnant",-0.957809984107834,"5"
"25",4,"4",1,2,"Remnant",-1.0216724556814,"5"
"26",4,"1",1,2,"Remnant",-1.0216724556814,"5"
"27",4,"3",0,2,"Remnant",-1.0216724556814,"5"
"28",4,"7",1,2,"Remnant",-1.0216724556814,"5"
"29",4,"2",1,2,"Remnant",-1.0216724556814,"5"
"30",4,"5",0,2,"Remnant",-1.0216724556814,"5"
"31",4,"6",2,2,"Remnant",-1.0216724556814,"5"
"32",4,"8",0,2,"Remnant",-1.0216724556814,"5"
"33",5,"4",0,3,"Remnant",0.702614276804904,"10"
"34",5,"6",2,3,"Remnant",0.702614276804904,"10"
"35",5,"1",0,3,"Remnant",0.702614276804904,"10"
"36",5,"5",0,3,"Remnant",0.702614276804904,"10"
"37",5,"2",0,3,"Remnant",0.702614276804904,"10"
"38",5,"8",0,3,"Remnant",0.702614276804904,"10"
"39",5,"3",0,3,"Remnant",0.702614276804904,"10"
"40",5,"7",3,3,"Remnant",0.702614276804904,"10"
