pl.p,IBRA,IBRAsub,planting,age,plot.type,plot.area,preRE,plot.biomass,biomass.area,stem.count,density,alpha,rare.rich,rare.rich.se,log.age,log.density,log.biomass.area,log.rare.rich
1,SEQ,SEQ06,2,80,Remnant,0.025,5,6795.525193,271821.00772,61,2440,8,5.5677706783,0.987418374,4.3820266347,7.7997533183,12.5128990688,1.7169947365
2,SEQ,SEQ06,2,80,Remnant,0.0225,5,8822.363451,392105.042266667,50,2222.2222222222,6,4.2763438956,0.9227099422,4.3820266347,7.7062629752,12.8792850478,1.4530984145
3,SEQ,SEQ06,2,80,Remnant,0.025,5,9280.614691,371224.58764,41,1640,7,4.6245275573,0.8598622056,4.3820266347,7.4024515208,12.824562516,1.531374216
4,SEQ,SEQ06,2,80,Remnant,0.0225,5,4163.270646,185034.250933333,46,2044.4444444444,6,5.2735353935,0.6814969279,4.3820266347,7.6228813663,12.1282962271,1.6627009903
5,BBS,BBS17,3,80,Remnant,0.09,10,6383.02581,70922.509,78,866.6666666667,4,3.012159012,0.511130067,4.3820266347,6.7646544353,11.1693431375,1.1026571014
6,BBS,BBS17,3,80,Remnant,0.09,10,8022.9684,89144.0933333333,132,1466.6666666667,3,2.8208934157,0.3845283548,4.3820266347,7.2907475312,11.3980093657,1.0370536489
7,BBS,BBS17,3,80,Remnant,0.09,10,9532.76305,105919.589444444,40,444.4444444444,2,1.9975342974,0.0495945858,4.3820266347,6.0968250628,11.5704354951,0.6919135687
8,BBS,BBS17,3,80,Remnant,0.09,10,13592.01473,151022.385888889,21,233.3333333333,5,4.5604395604,0.5588211928,4.3820266347,5.4524680464,11.9251833557,1.5174190137
9,BBS,BBS17,4,49,Old regrowth,0.09,3,15284.279861,169825.331788889,44,488.8888888889,3,2.6979561501,0.4599187834,3.8918202981,6.1921352426,12.0425257278,0.9924945049
10,BBS,BBS17,4,49,Old regrowth,0.09,3,14036.696502,155963.294466667,40,444.4444444444,4,3.2841415973,0.5103081853,3.8918202981,6.0968250628,11.9573759667,1.189105308
