Var1,Freq,pl.p,planting,plot.type,preRE
-2.455,0,1,2,Remnant,5
-1.875,0,1,2,Remnant,5
-1.305,0,1,2,Remnant,5
-0.7345,0,1,2,Remnant,5
-0.163,0,1,2,Remnant,5
0.409,40,1,2,Remnant,5
0.9825,0,1,2,Remnant,5
1.555,80,1,2,Remnant,5
2.125,240,1,2,Remnant,5
2.695,520,1,2,Remnant,5
3.265,160,1,2,Remnant,5
3.835,280,1,2,Remnant,5
4.41,80,1,2,Remnant,5
4.985,160,1,2,Remnant,5
5.555,0,1,2,Remnant,5
6.125,0,1,2,Remnant,5
6.695,40,1,2,Remnant,5
7.265,40,1,2,Remnant,5
7.84,40,1,2,Remnant,5
8.42,0,1,2,Remnant,5
-2.455,0,2,2,Remnant,5
-1.875,0,2,2,Remnant,5
-1.305,0,2,2,Remnant,5
-0.7345,0,2,2,Remnant,5
-0.163,0,2,2,Remnant,5
0.409,88.8888888889,2,2,Remnant,5
0.9825,133.3333333333,2,2,Remnant,5
1.555,266.6666666667,2,2,Remnant,5
2.125,355.5555555556,2,2,Remnant,5
2.695,44.4444444444,2,2,Remnant,5
3.265,222.2222222222,2,2,Remnant,5
3.835,133.3333333333,2,2,Remnant,5
4.41,400,2,2,Remnant,5
4.985,44.4444444444,2,2,Remnant,5
5.555,177.7777777778,2,2,Remnant,5
6.125,88.8888888889,2,2,Remnant,5
6.695,88.8888888889,2,2,Remnant,5
7.265,0,2,2,Remnant,5
7.84,0,2,2,Remnant,5
8.42,44.4444444444,2,2,Remnant,5
-2.455,0,3,2,Remnant,5
-1.875,0,3,2,Remnant,5
-1.305,0,3,2,Remnant,5
-0.7345,0,3,2,Remnant,5
-0.163,0,3,2,Remnant,5
0.409,0,3,2,Remnant,5
0.9825,160,3,2,Remnant,5
1.555,240,3,2,Remnant,5
2.125,200,3,2,Remnant,5
2.695,440,3,2,Remnant,5
3.265,80,3,2,Remnant,5
3.835,40,3,2,Remnant,5
4.41,40,3,2,Remnant,5
4.985,0,3,2,Remnant,5
5.555,40,3,2,Remnant,5
6.125,40,3,2,Remnant,5
6.695,200,3,2,Remnant,5
7.265,120,3,2,Remnant,5
7.84,0,3,2,Remnant,5
8.42,0,3,2,Remnant,5
-2.455,0,4,2,Remnant,5
-1.875,0,4,2,Remnant,5
-1.305,0,4,2,Remnant,5
-0.7345,0,4,2,Remnant,5
-0.163,44.4444444444,4,2,Remnant,5
0.409,266.6666666667,4,2,Remnant,5
0.9825,177.7777777778,4,2,Remnant,5
1.555,444.4444444444,4,2,Remnant,5
2.125,266.6666666667,4,2,Remnant,5
2.695,400,4,2,Remnant,5
3.265,44.4444444444,4,2,Remnant,5
3.835,88.8888888889,4,2,Remnant,5
4.41,88.8888888889,4,2,Remnant,5
4.985,44.4444444444,4,2,Remnant,5
5.555,44.4444444444,4,2,Remnant,5
6.125,44.4444444444,4,2,Remnant,5
6.695,44.4444444444,4,2,Remnant,5
7.265,0,4,2,Remnant,5
7.84,44.4444444444,4,2,Remnant,5
8.42,0,4,2,Remnant,5
-2.455,0,5,3,Remnant,10
-1.875,0,5,3,Remnant,10
-1.305,0,5,3,Remnant,10
-0.7345,0,5,3,Remnant,10
-0.163,33.3333333333,5,3,Remnant,10
0.409,111.1111111111,5,3,Remnant,10
0.9825,122.2222222222,5,3,Remnant,10
1.555,77.7777777778,5,3,Remnant,10
2.125,88.8888888889,5,3,Remnant,10
2.695,55.5555555556,5,3,Remnant,10
3.265,77.7777777778,5,3,Remnant,10
3.835,100,5,3,Remnant,10
4.41,66.6666666667,5,3,Remnant,10
4.985,22.2222222222,5,3,Remnant,10
5.555,22.2222222222,5,3,Remnant,10
6.125,66.6666666667,5,3,Remnant,10
6.695,22.2222222222,5,3,Remnant,10
7.265,0,5,3,Remnant,10
7.84,0,5,3,Remnant,10
8.42,0,5,3,Remnant,10
-2.455,0,6,3,Remnant,10
-1.875,0,6,3,Remnant,10
-1.305,0,6,3,Remnant,10
-0.7345,11.1111111111,6,3,Remnant,10
-0.163,22.2222222222,6,3,Remnant,10
0.409,300,6,3,Remnant,10
0.9825,366.6666666667,6,3,Remnant,10
1.555,211.1111111111,6,3,Remnant,10
2.125,144.4444444444,6,3,Remnant,10
2.695,144.4444444444,6,3,Remnant,10
3.265,111.1111111111,6,3,Remnant,10
3.835,0,6,3,Remnant,10
4.41,44.4444444444,6,3,Remnant,10
4.985,11.1111111111,6,3,Remnant,10
5.555,33.3333333333,6,3,Remnant,10
6.125,11.1111111111,6,3,Remnant,10
6.695,33.3333333333,6,3,Remnant,10
7.265,11.1111111111,6,3,Remnant,10
7.84,11.1111111111,6,3,Remnant,10
8.42,0,6,3,Remnant,10
-2.455,0,7,3,Remnant,10
-1.875,0,7,3,Remnant,10
-1.305,0,7,3,Remnant,10
-0.7345,0,7,3,Remnant,10
-0.163,0,7,3,Remnant,10
0.409,0,7,3,Remnant,10
0.9825,0,7,3,Remnant,10
1.555,11.1111111111,7,3,Remnant,10
2.125,22.2222222222,7,3,Remnant,10
2.695,22.2222222222,7,3,Remnant,10
3.265,88.8888888889,7,3,Remnant,10
3.835,0,7,3,Remnant,10
4.41,66.6666666667,7,3,Remnant,10
4.985,33.3333333333,7,3,Remnant,10
5.555,44.4444444444,7,3,Remnant,10
6.125,44.4444444444,7,3,Remnant,10
6.695,33.3333333333,7,3,Remnant,10
7.265,11.1111111111,7,3,Remnant,10
7.84,11.1111111111,7,3,Remnant,10
8.42,0,7,3,Remnant,10
-2.455,0,8,3,Remnant,10
-1.875,0,8,3,Remnant,10
-1.305,0,8,3,Remnant,10
-0.7345,0,8,3,Remnant,10
-0.163,0,8,3,Remnant,10
0.409,0,8,3,Remnant,10
0.9825,0,8,3,Remnant,10
1.555,11.1111111111,8,3,Remnant,10
2.125,0,8,3,Remnant,10
2.695,0,8,3,Remnant,10
3.265,0,8,3,Remnant,10
3.835,0,8,3,Remnant,10
4.41,0,8,3,Remnant,10
4.985,11.1111111111,8,3,Remnant,10
5.555,22.2222222222,8,3,Remnant,10
6.125,33.3333333333,8,3,Remnant,10
6.695,44.4444444444,8,3,Remnant,10
7.265,22.2222222222,8,3,Remnant,10
7.84,11.1111111111,8,3,Remnant,10
8.42,0,8,3,Remnant,10
-2.455,0,9,4,Old regrowth,3
-1.875,0,9,4,Old regrowth,3
-1.305,0,9,4,Old regrowth,3
-0.7345,0,9,4,Old regrowth,3
-0.163,0,9,4,Old regrowth,3
0.409,0,9,4,Old regrowth,3
0.9825,0,9,4,Old regrowth,3
1.555,11.1111111111,9,4,Old regrowth,3
2.125,0,9,4,Old regrowth,3
2.695,0,9,4,Old regrowth,3
3.265,22.2222222222,9,4,Old regrowth,3
3.835,44.4444444444,9,4,Old regrowth,3
4.41,22.2222222222,9,4,Old regrowth,3
4.985,66.6666666667,9,4,Old regrowth,3
5.555,44.4444444444,9,4,Old regrowth,3
6.125,88.8888888889,9,4,Old regrowth,3
6.695,44.4444444444,9,4,Old regrowth,3
7.265,33.3333333333,9,4,Old regrowth,3
7.84,0,9,4,Old regrowth,3
8.42,0,9,4,Old regrowth,3
-2.455,0,10,4,Old regrowth,3
-1.875,0,10,4,Old regrowth,3
-1.305,0,10,4,Old regrowth,3
-0.7345,0,10,4,Old regrowth,3
-0.163,0,10,4,Old regrowth,3
0.409,0,10,4,Old regrowth,3
0.9825,0,10,4,Old regrowth,3
1.555,44.4444444444,10,4,Old regrowth,3
2.125,22.2222222222,10,4,Old regrowth,3
2.695,11.1111111111,10,4,Old regrowth,3
3.265,33.3333333333,10,4,Old regrowth,3
3.835,33.3333333333,10,4,Old regrowth,3
4.41,33.3333333333,10,4,Old regrowth,3
4.985,66.6666666667,10,4,Old regrowth,3
5.555,55.5555555556,10,4,Old regrowth,3
6.125,33.3333333333,10,4,Old regrowth,3
6.695,44.4444444444,10,4,Old regrowth,3
7.265,11.1111111111,10,4,Old regrowth,3
7.84,22.2222222222,10,4,Old regrowth,3
8.42,0,10,4,Old regrowth,3
-2.455,0,11,4,Old regrowth,3
-1.875,0,11,4,Old regrowth,3
-1.305,0,11,4,Old regrowth,3
-0.7345,0,11,4,Old regrowth,3
-0.163,0,11,4,Old regrowth,3
0.409,0,11,4,Old regrowth,3
0.9825,0,11,4,Old regrowth,3
1.555,0,11,4,Old regrowth,3
2.125,22.2222222222,11,4,Old regrowth,3
2.695,22.2222222222,11,4,Old regrowth,3
3.265,11.1111111111,11,4,Old regrowth,3
3.835,11.1111111111,11,4,Old regrowth,3
4.41,33.3333333333,11,4,Old regrowth,3
4.985,44.4444444444,11,4,Old regrowth,3
5.555,44.4444444444,11,4,Old regrowth,3
6.125,22.2222222222,11,4,Old regrowth,3
6.695,0,11,4,Old regrowth,3
7.265,55.5555555556,11,4,Old regrowth,3
7.84,0,11,4,Old regrowth,3
8.42,11.1111111111,11,4,Old regrowth,3
-2.455,0,12,4,Old regrowth,3
