"","Value","Std.Error","DF","t-value","p-value"
"growth.mm(Intercept)",-0.995223818915427,0.193753804644456,1380,-5.13653819981338,3.19926636071504e-07
"growth.mmgrowth.group2",-1.83884149817118,0.414555485825866,1380,-4.43569452351568,9.90645298753209e-06
"growth.mmgrowth.group3",-0.405418970066799,0.270269629942244,1380,-1.50005374319503,0.133829217322787
"growth.mmgrowth.group4",-0.312140364127933,0.264570077313605,1380,-1.17980221836629,0.238282225795595
"growth.mmgrowth.group5",0.308549082929733,0.235715594615984,1380,1.3089888406934,0.19075605500403
"growth.mmgrowth.group6",1.8216797857143,0.205911931180075,1380,8.84688796455022,2.69521961629718e-18
"growth.mmgrowth.group7",1.00942146257618,0.216966226365513,1380,4.65243590896795,3.59521468500205e-06
"growth.mmgrowth.group8",-0.262647050766724,0.261703861005776,1380,-1.00360403456534,0.315745449056645
"growth.mmplot.typePlanting",-1.23246036542514,0.434020792373098,51,-2.83963438407273,0.00647164935122486
"growth.mmplot.typeYoung regrowth",-0.660409393685156,0.353071164255815,51,-1.87047105666965,0.0671622120917795
"growth.mmplot.typeOld regrowth",-1.79433252952375,0.623915041343577,51,-2.87592446186218,0.00586559842378068
"growth.mmplot.area",-0.00131571320208352,0.056227712883669,137,-0.0233997282586549,0.981365469558423
"growth.mmgrowth.group2:plot.typePlanting",0.944085052946635,0.819130734315854,1380,1.15254502534952,0.249296785483116
"growth.mmgrowth.group3:plot.typePlanting",0.43859346461226,0.609350967208132,1380,0.719771508071559,0.471787569245598
"growth.mmgrowth.group4:plot.typePlanting",1.51343169823314,0.526873612517975,1380,2.87247579357849,0.00413497877797196
"growth.mmgrowth.group5:plot.typePlanting",-1.22304466191097,0.749127413739555,1380,-1.63262569154381,0.102775875794515
"growth.mmgrowth.group6:plot.typePlanting",1.09519011424942,0.465175144524764,1380,2.35436077602188,0.0186940791940433
"growth.mmgrowth.group7:plot.typePlanting",0.469845432182799,0.494779914100909,1380,0.949604902690078,0.342479314500174
"growth.mmgrowth.group8:plot.typePlanting",-0.240388644780875,0.678124656935329,1380,-0.354490346756113,0.72302559767963
"growth.mmgrowth.group2:plot.typeYoung regrowth",1.03192168916112,0.665594867997248,1380,1.5503750686452,0.121280807465114
"growth.mmgrowth.group3:plot.typeYoung regrowth",-0.410198417958516,0.587907755946189,1380,-0.697725814653246,0.485466217524956
"growth.mmgrowth.group4:plot.typeYoung regrowth",0.515476384815895,0.484608913484634,1380,1.06369563264799,0.287652692524238
"growth.mmgrowth.group5:plot.typeYoung regrowth",0.199533535610314,0.45212403041058,1380,0.441324774153487,0.659047029153824
"growth.mmgrowth.group6:plot.typeYoung regrowth",0.466005004587328,0.392254946453758,1380,1.18801562300315,0.235031676267889
"growth.mmgrowth.group7:plot.typeYoung regrowth",0.259462771382657,0.414709113603554,1380,0.625650034859599,0.531647965257271
"growth.mmgrowth.group8:plot.typeYoung regrowth",-0.824909421715187,0.627550225889986,1380,-1.31449147443985,0.188899287660745
"growth.mmgrowth.group3:plot.typeOld regrowth",0.97112996899107,0.820668832531369,1380,1.18333964992383,0.236878372293505
"growth.mmgrowth.group4:plot.typeOld regrowth",1.15331389709051,0.785364538478967,1380,1.46850773186698,0.142194253329508
"growth.mmgrowth.group5:plot.typeOld regrowth",1.53533186448269,0.703699958567212,1380,2.1817989979831,0.0292925977398807
"growth.mmgrowth.group6:plot.typeOld regrowth",1.17904063892607,0.662909295090234,1380,1.77858516641494,0.0755278993854221
"growth.mmgrowth.group7:plot.typeOld regrowth",1.30197194502953,0.680837904195302,1380,1.91230825576369,0.05604351800124
"growth.mmgrowth.group8:plot.typeOld regrowth",1.3497737789213,0.760534991173123,1380,1.77476880694112,0.0761564712782226
