"","coefficients","sigma","tstat","pvalues","var"
"Old regrowth - Remnant",-0.523,0.246,-2.13,0.142,"log.biomass.area"
"Planting - Remnant",-1.8,0.21,-8.577,0,"log.biomass.area"
"Young regrowth - Remnant",-1.142,0.213,-5.369,0,"log.biomass.area"
"Planting - Old regrowth",-1.276,0.261,-4.892,0,"log.biomass.area"
"Young regrowth - Old regrowth",-0.618,0.263,-2.349,0.086,"log.biomass.area"
"Young regrowth - Planting",0.658,0.23,2.861,0.022,"log.biomass.area"
"Old regrowth - Remnant1",-0.358,0.256,-1.399,0.497,"log.density"
"Planting - Remnant1",-0.85,0.218,-3.898,0.001,"log.density"
"Young regrowth - Remnant1",0.254,0.222,1.144,0.66,"log.density"
"Planting - Old regrowth1",-0.493,0.269,-1.83,0.257,"log.density"
"Young regrowth - Old regrowth1",0.612,0.273,2.243,0.111,"log.density"
"Young regrowth - Planting1",1.105,0.238,4.643,0,"log.density"
"Old regrowth - Remnant2",-0.77,0.126,-6.132,0,"log.rare.rich"
"Planting - Remnant2",-0.509,0.107,-4.768,0,"log.rare.rich"
"Young regrowth - Remnant2",-0.467,0.108,-4.333,0,"log.rare.rich"
"Planting - Old regrowth2",0.261,0.132,1.973,0.196,"log.rare.rich"
"Young regrowth - Old regrowth2",0.303,0.135,2.25,0.109,"log.rare.rich"
"Young regrowth - Planting2",0.042,0.116,0.363,0.983,"log.rare.rich"
