"","species","seed.group.raw","growth.group.raw"
"Acacia concurrens","Acacia concurrens",3,7
"Acacia disparrima","Acacia disparrima",3,7
"Acacia falcata","Acacia falcata",4,7
"Acacia fimbriata","Acacia fimbriata",3,7
"Acacia glaucocarpa","Acacia glaucocarpa",3,7
"Acacia harpophylla","Acacia harpophylla",7,8
"Acacia irrorata","Acacia irrorata",3,7
"Acacia leiocalyx","Acacia leiocalyx",4,7
"Acacia maidenii","Acacia maidenii",3,7
"Acacia sp.","Acacia sp.",7,7
"Allocasuarina littoralis","Allocasuarina littoralis",1,7
"Allocasuarina sp.","Allocasuarina sp.",1,8
"Allocasuarina torulosa","Allocasuarina torulosa",1,8
"Alphitonia excelsa","Alphitonia excelsa",4,1
"Alstonia constricta","Alstonia constricta",1,2
"Angophora floribunda","Angophora floribunda",7,5
"Angophora leiocarpa","Angophora leiocarpa",7,1
"Angophora sp.","Angophora sp.",7,5
"Angophora subvelutina","Angophora subvelutina",7,5
"Araucaria bidwillii","Araucaria bidwillii",8,1
"Breynia oblongifolia","Breynia oblongifolia",4,2
"Carissa ovata","Carissa ovata",5,3
"Cassinia laevis","Cassinia laevis",1,3
"Castanospermum australe","Castanospermum australe",8,7
"Casuarina cristata","Casuarina cristata",2,8
"Casuarina sp.","Casuarina sp.",2,8
"Corymbia citriodora","Corymbia citriodora",7,6
"Corymbia intermedia","Corymbia intermedia",7,6
"Corymbia sp.","Corymbia sp.",7,5
"Corymbia tessellaris","Corymbia tessellaris",7,4
"Corymbia trachyphloia","Corymbia trachyphloia",7,5
"Corymbia watsoniana","Corymbia watsoniana",7,5
"Dodonaea sp.","Dodonaea sp.",1,3
"Dodonaea triangularis","Dodonaea triangularis",1,3
"Elaeocarpus grandis","Elaeocarpus grandis",4,1
"Eucalyptus acmenoides","Eucalyptus acmenoides",6,6
"Eucalyptus argophloia","Eucalyptus argophloia",6,6
"Eucalyptus crebra","Eucalyptus crebra",6,6
"Eucalyptus dunnii","Eucalyptus dunnii",6,4
"Eucalyptus fibrosa","Eucalyptus fibrosa",6,6
"Eucalyptus melanophloia","Eucalyptus melanophloia",6,5
"Eucalyptus microcorys","Eucalyptus microcorys",6,5
"Eucalyptus moluccana","Eucalyptus moluccana",6,6
"Eucalyptus pilularis","Eucalyptus pilularis",7,6
"Eucalyptus populnea","Eucalyptus populnea",6,6
"Eucalyptus propinqua","Eucalyptus propinqua",6,6
"Eucalyptus punctata","Eucalyptus punctata",7,6
"Eucalyptus saligna","Eucalyptus saligna",6,4
"Eucalyptus siderophloia","Eucalyptus siderophloia",6,6
"Eucalyptus sp.","Eucalyptus sp.",6,6
"Eucalyptus tereticornis","Eucalyptus tereticornis",6,6
"Eupomatia laurina","Eupomatia laurina",4,2
"Exocarpos latifolius","Exocarpos latifolius",5,3
"Exocarpos sp.","Exocarpos sp.",5,3
"Flindersia australis","Flindersia australis",2,4
"Flindersia sp.","Flindersia sp.",2,4
"Geijera parviflora","Geijera parviflora",4,3
"Glochidion ferdinandi","Glochidion ferdinandi",4,1
"Grevillea robusta","Grevillea robusta",2,1
"Jacksonia scoparia","Jacksonia scoparia",6,7
"Jagera pseudorhus","Jagera pseudorhus",4,5
"Lantana camara","Lantana camara",4,2
"Ligustrum lucidum","Ligustrum lucidum",4,1
"Lophostemon confertus","Lophostemon confertus",6,4
"Melia azedarach","Melia azedarach",5,1
"Psydrax odorata","Psydrax odorata",5,3
"Trema tomentosa","Trema tomentosa",4,2
